ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
2135,62.745,200624_054351_0000000077_CAM2_OK.bmp,48.343,200624_054357_0000000078_CAM2_OK.bmp,Not fertile,1.120298433,0.757929534,0.120298433,0.319383867,1.118555291,0.762619109,0.118555291,0.311270578,57.934,57.578,57.207,56.847,56.441,56.076
2136,64.58,200624_054414_0000000079_CAM2_OK.bmp,48.915,200624_054419_0000000080_CAM2_OK.bmp,M,1.105689728,0.753012283,0.105689728,0.327999587,1.08865345,0.75739571,0.08865345,0.320313789,55.951,55.571,55.175,54.789,54.351,53.954
2141,65.504,200624_054453_0000000081_CAM2_OK.bmp,47.657,200624_054459_0000000082_CAM2_OK.bmp,F,1.105665339,0.71396098,0.105665339,0.400636769,1.097710105,0.715159942,0.097710105,0.398288607,61.645,61.309,60.969,60.636,60.254,59.905
2142,60.045,200624_054524_0000000083_CAM2_OK.bmp,46.978,200624_054529_0000000084_CAM2_OK.bmp,M,1.096259417,0.774003022,0.096259417,0.29198462,1.098701747,0.7787123,0.098701747,0.284171317,61.619,61.229,60.836,60.454,60.013,59.625
2143,63.122,200624_054550_0000000085_CAM2_OK.bmp,47.796,200624_054555_0000000086_CAM2_OK.bmp,M,1.062508943,0.75189141,0.062508943,0.329979285,1.054016876,0.756140473,0.054016876,0.322505587,51.588,51.218,50.841,50.474,50.056,49.681
2144,62.44,200624_054618_0000000087_CAM2_OK.bmp,49.306,200624_054624_0000000088_CAM2_OK.bmp,M,1.033079718,0.788169474,0.033079718,0.268762661,1.028989749,0.794384764,0.028989749,0.258835826,56.221,55.844,55.449,55.066,54.636,54.246
2145,62.715,200624_054651_0000000089_CAM2_OK.bmp,47.594,200624_054656_0000000090_CAM2_OK.bmp,M,1.096778562,0.752436406,0.096778562,0.329015971,1.087058221,0.757824163,0.087058221,0.31956732,47.591,47.11,46.61,46.124,45.584,45.094
2146,64.704,200624_054719_0000000091_CAM2_OK.bmp,49.376,200624_054723_0000000092_CAM2_OK.bmp,M,1.089307924,0.751773908,0.089307924,0.33018716,1.087275085,0.755058494,0.087275085,0.324400703,56.997,56.63,56.243,55.869,55.446,55.064
2151,64.284,200624_054804_0000000093_CAM2_OK.bmp,47.634,200624_054811_0000000094_CAM2_OK.bmp,F,1.137969601,0.724751825,0.137969601,0.379782658,1.098463657,0.731128354,0.098463657,0.367748898,53.943,53.583,53.216,52.865,52.469,52.123
2152,60.563,200624_054838_0000000095_CAM2_OK.bmp,45.598,200624_054844_0000000096_CAM2_OK.bmp,M,1.013807449,0.772933816,0.013807449,0.293771833,1.013556626,0.776135705,0.013556626,0.288434475,63.952,63.61,63.258,62.915,62.529,62.191
2153,65.787,200624_054904_0000000097_CAM2_OK.bmp,48.571,200624_054909_0000000098_CAM2_OK.bmp,M,1.110536835,0.727821174,0.110536835,0.373963874,1.090961426,0.732944483,0.090961426,0.364359817,51.396,50.887,50.356,49.84,49.275,48.766
2154,64.516,200624_054935_0000000099_CAM2_OK.bmp,48.587,200624_054940_0000000100_CAM2_OK.bmp,NR,1.044356053,0.749662382,0.044356053,0.333933814,1.042869465,0.752681194,0.042869465,0.328583746,57.607,57.256,56.888,56.531,56.131,55.773
2155,63.358,200624_055007_0000000101_CAM2_OK.bmp,47.987,200624_055011_0000000102_CAM2_OK.bmp,F,1.112556005,0.751199256,0.112556005,0.331204725,1.127358852,0.755695714,0.127358852,0.323283937,56.853,56.451,56.032,55.628,55.175,54.768
2156,62.321,200624_055032_0000000103_CAM2_OK.bmp,46.846,200624_055036_0000000104_CAM2_OK.bmp,F,1.043688139,0.769977928,0.043688139,0.298738527,1.060052469,0.772430663,0.060052469,0.294614582,58.792,58.391,57.974,57.57,57.12,56.714
2161,65.855,200624_055117_0000000105_CAM2_OK.bmp,48.533,200624_055122_0000000106_CAM2_OK.bmp,M,1.049721585,0.750174435,0.049721585,0.333023298,1.028392664,0.756291198,0.028392664,0.322242019,63.412,63.003,62.578,62.174,61.727,61.347
2162,62.665,200624_055207_0000000107_CAM2_OK.bmp,47.469,200624_055211_0000000108_CAM2_OK.bmp,M,1.076709186,0.750881456,0.076709186,0.33176814,1.081125027,0.755248629,0.081125027,0.324067282,59.692,59.289,58.873,58.466,58.016,57.625
2163,65.1,200624_055238_0000000109_CAM2_OK.bmp,49.587,200624_055243_0000000110_CAM2_OK.bmp,F,1.040477897,0.759174611,0.040477897,0.317220025,1.038129317,0.762888616,0.038129317,0.310807344,57.058,56.639,56.207,55.783,55.313,54.902
2164,61.045,200624_055329_0000000111_CAM2_OK.bmp,48.615,200624_055334_0000000112_CAM2_OK.bmp,F,1.050708343,0.786957165,0.050708343,0.270717194,1.041264081,0.793548274,0.041264081,0.260162781,57.337,56.927,56.499,56.084,55.626,55.222
2165,60.326,200624_055404_0000000113_CAM2_OK.bmp,46.056,200624_055408_0000000114_CAM2_OK.bmp,M,1.077502987,0.77112166,0.077502987,0.29681223,1.103571908,0.776017075,0.103571908,0.288631438,57.192,56.87,56.535,56.208,55.841,55.518
2166,62.288,200624_055441_0000000115_CAM2_OK.bmp,47.983,200624_055446_0000000116_CAM2_OK.bmp,F,1.097057109,0.747447505,0.097057109,0.337886598,1.082183542,0.754814531,0.082183542,0.32482876,59.291,58.889,58.467,58.554,57.593,57.18
2211,63.926,200624_055521_0000000117_CAM2_OK.bmp,47.797,200624_055526_0000000118_CAM2_OK.bmp,F,1.098711836,0.738450509,0.098711836,0.354186892,1.092243684,0.742218567,0.092243684,0.347312024,52.67,52.247,51.804,51.368,50.891,50.451
2212,66.663,200624_055553_0000000119_CAM2_OK.bmp,49.068,200624_055558_0000000120_CAM2_OK.bmp,M,1.07203875,0.728833844,0.07203875,0.372054836,1.068675365,0.733046378,0.068675365,0.364170166,58.682,58.33,57.961,57.596,57.192,56.82
2213,64.721,200624_055632_0000000121_CAM2_OK.bmp,49.971,200624_055638_0000000122_CAM2_OK.bmp,M,1.052909761,0.764011395,0.052909761,0.308881002,1.027800769,0.768176209,0.027800769,0.301784654,56.419,56.055,55.675,55.301,54.888,54.504
2214,63.34,200624_055658_0000000123_CAM2_OK.bmp,44.814,200624_055704_0000000124_CAM2_OK.bmp,M,1.14432176,0.737774656,0.14432176,0.355427422,1.124334442,0.742173655,0.124334442,0.347393555,57.976,57.584,57.174,56.768,56.316,55.904
2215,65.672,200630_044527_0000000126_CAM2_OK.bmp,50.216,200630_044533_0000000127_CAM2_OK.bmp,M,1.081217501,0.75839818,0.081217501,0.318568565,1.069841788,0.762220511,0.069841788,0.311956298,48.677,48.273,47.85,47.437,46.981,46.56
2216,64.072,200630_044712_0000000128_CAM2_OK.bmp,48.48,200630_044722_0000000129_CAM2_OK.bmp,F,1.08117054,0.747056913,0.08117054,0.3385861,1.07443894,0.750702502,0.07443894,0.33208561,60.631,60.269,59.887,59.513,59.093,58.711
2221,64.45,200630_044750_0000000130_CAM2_OK.bmp,46.662,200630_044757_0000000131_CAM2_OK.bmp,M,1.075836331,0.7468012,0.075836331,0.339044447,1.068617252,0.75190609,0.068617252,0.329953319,53.194,52.874,52.539,52.213,51.845,51.506
2222,64.396,200630_044830_0000000132_CAM2_OK.bmp,48.12,200630_044836_0000000133_CAM2_OK.bmp,F,1.119131656,0.736882743,0.119131656,0.357068013,1.101227835,0.741103305,0.101227835,0.34933955,63.332,62.988,62.624,62.273,61.872,61.506
2223,63.134,200630_044901_0000000134_CAM2_OK.bmp,46.818,200630_044907_0000000135_CAM2_OK.bmp,F,1.086213545,0.738221732,0.086213545,0.354606558,1.085249942,0.741141265,0.085249942,0.349270439,56.537,56.178,55.8,55.433,55.02,54.64
2224,67.553,200630_044933_0000000136_CAM2_OK.bmp,48.253,200630_044938_0000000137_CAM2_OK.bmp,M,1.162805102,0.700358646,0.162805102,0.427839873,1.173021392,0.706454369,0.173021392,0.415519592,57.317,56.942,56.548,56.165,55.732,55.335
2225,59.66,200630_045001_0000000138_CAM2_OK.bmp,48.156,200630_045009_0000000139_CAM2_OK.bmp,M,1.074538486,0.773036232,0.074538486,0.293600426,1.067963384,0.778289093,0.067963384,0.284869605,56.983,56.594,56.185,55.788,55.34,54.929
2226,62.584,200630_045033_0000000140_CAM2_OK.bmp,48.717,200630_045038_0000000141_CAM2_OK.bmp,M,1.089637116,0.768774028,0.089637116,0.300772352,1.080775668,0.774613436,0.080775668,0.290966504,65.891,65.546,65.185,64.837,64.443,64.076
