ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1323,62.365,200620_063629_0000000171_CAM2_OK.bmp,43.209,200620_063644_0000000172_CAM2_OK.bmp,M,1.089809108,0.737164215,0.089809108,0.356549842,1.074701665,0.741156467,0.074701665,0.349242764,56.731,56.365,3
1324,65.897,200620_063739_0000000173_CAM2_OK.bmp,48.608,200620_063749_0000000174_CAM2_OK.bmp,F,1.112050859,0.722426288,0.112050859,0.384224269,1.110116331,0.729081005,0.110116331,0.371589703,55.486,55.11,3
1325,61.604,200620_063834_0000000175_CAM2_OK.bmp,47.604,200620_063847_0000000176_CAM2_OK.bmp,F,1.075363142,0.745303842,0.075363142,0.341734664,1.080011856,0.749641992,0.080011856,0.333970097,58.505,58.14,3
1326,65.14,200620_063928_0000000177_CAM2_OK.bmp,48.654,200620_063937_0000000178_CAM2_OK.bmp,M,1.105661294,0.738968962,0.105661294,0.35323681,1.094111566,0.743627943,0.094111566,0.344758504,54.163,53.811,3
1331,63.891,200620_064027_0000000179_CAM2_OK.bmp,47.64,200620_064035_0000000180_CAM2_OK.bmp,M,1.079743123,0.736190389,0.079743123,0.358344275,1.062894318,0.741168587,0.062894318,0.349220699,67.268,66.847,3
1332,63.978,200620_064131_0000000181_CAM2_OK.bmp,46.253,200620_064138_0000000182_CAM2_OK.bmp,M,1.086352298,0.737950321,0.086352298,0.35510477,1.09588588,0.747610865,0.09588588,0.337594258,60.735,60.378,3
1333,63.324,200620_064223_0000000183_CAM2_OK.bmp,43.346,200620_064232_0000000184_CAM2_OK.bmp,F,1.114458276,0.726649689,0.114458276,0.376178941,1.107447935,0.729917419,0.107447935,0.370017996,58.001,57.638,3
1334,63.619,200620_064314_0000000185_CAM2_OK.bmp,48.652,200620_064320_0000000186_CAM2_OK.bmp,Not fertile,1.108890804,0.745492153,0.108890804,0.341395743,1.105206333,0.748712009,0.105206333,0.335627035,55.5,55.076,3
1335,64.615,200620_064358_0000000187_CAM2_OK.bmp,49.711,200620_064402_0000000188_CAM2_OK.bmp,M,1.091838575,0.758535718,0.091838575,0.318329482,1.094825044,0.763119926,0.094825044,0.310410023,55.978,55.641,3
1336,61.062,200624_052056_0000000007_CAM2_OK.bmp,46.225,200624_052100_0000000008_CAM2_OK.bmp,F,1.111496374,0.747496949,0.111496374,0.337798102,1.090146445,0.751175657,0.090146445,0.331246547,53.73,53.44,3
1341,62.179,200624_052133_0000000009_CAM2_OK.bmp,49.157,200624_052139_0000000010_CAM2_OK.bmp,Not fertile,1.084936888,0.784667602,0.084936888,0.274424988,1.071015158,0.788110728,0.071015158,0.268857235,58.516,58.186,3
1342,60.913,200624_052226_0000000011_CAM2_OK.bmp,48.137,200624_052241_0000000012_CAM2_OK.bmp,M,1.089183212,0.780147219,0.089183212,0.28180935,1.083475205,0.784093282,0.083475205,0.275358459,53.391,53.119,3
1343,65.672,200624_052321_0000000013_CAM2_OK.bmp,48.648,200624_052330_0000000014_CAM2_OK.bmp,M,1.088671855,0.733387169,0.088671855,0.363536264,1.098157341,0.735341282,0.098157341,0.35991277,56.989,56.662,3
1344,61.867,200624_052406_0000000015_CAM2_OK.bmp,47.397,200624_052413_0000000016_CAM2_OK.bmp,M,1.13879857,0.758061566,0.13879857,0.31915407,1.123445072,0.761812833,0.123445072,0.312658381,62.463,62.098,3
1345,59.035,200624_052443_0000000017_CAM2_OK.bmp,46.399,200624_052449_0000000018_CAM2_OK.bmp,F,1.085016494,0.773730034,0.085016494,0.292440459,1.068397387,0.779231279,0.068397387,0.28331604,56.366,55.947,3
1346,62.108,200624_052526_0000000019_CAM2_OK.bmp,45.371,200624_052534_0000000020_CAM2_OK.bmp,M,1.100145882,0.758432957,0.100145882,0.318508104,1.099427827,0.761874987,0.099427827,0.312551294,63.371,62.985,3
1351,62.401,200624_052612_0000000021_CAM2_OK.bmp,48.769,200624_052620_0000000022_CAM2_OK.bmp,F,1.087562219,0.775785145,0.087562219,0.28901669,1.083678583,0.777349852,0.083678583,0.286422063,57.002,56.686,3
1352,63.913,200624_052653_0000000023_CAM2_OK.bmp,48.245,200624_052659_0000000024_CAM2_OK.bmp,F,1.105711495,0.74553393,0.105711495,0.341320576,1.099167462,0.749910393,0.099167462,0.333492653,56.895,56.539,3
1353,65.006,200624_052727_0000000025_CAM2_OK.bmp,48.865,200624_052734_0000000026_CAM2_OK.bmp,F,1.077860525,0.747113282,0.077860525,0.338485106,1.073507318,0.75018942,0.073507318,0.332996672,54.1,53.761,3
1354,63.424,200624_052758_0000000027_CAM2_OK.bmp,48.331,200624_052804_0000000028_CAM2_OK.bmp,M,1.098417979,0.755014462,0.098417979,0.324477941,1.091562457,0.758688838,0.091562457,0.318063415,57.658,57.326,3
1355,64.397,200624_052831_0000000029_CAM2_OK.bmp,51.119,200624_052837_0000000030_CAM2_OK.bmp,M,1.076903488,0.787804808,0.076903488,0.269349958,1.085553636,0.786413407,0.085553636,0.271595819,64.695,64.271,3
1356,60.913,200624_052855_0000000031_CAM2_OK.bmp,47.082,200624_052902_0000000032_CAM2_OK.bmp,M,1.116363772,0.766173921,0.116363772,0.305186686,1.095744839,0.771336551,0.095744839,0.296450945,55.129,54.767,3
1361,62.785,200624_052945_0000000033_CAM2_OK.bmp,49.453,200624_052950_0000000034_CAM2_OK.bmp,M,1.090009108,0.779072895,0.090009108,0.283576937,1.083227068,0.77876996,0.083227068,0.284076238,61.071,60.684,3
1362,65.211,200624_053013_0000000035_CAM2_OK.bmp,47.464,200624_053018_0000000036_CAM2_OK.bmp,M,1.099550206,0.724785879,0.099550206,0.379717829,1.101118141,0.729903918,0.101118141,0.370043338,57.335,57.042,3
1363,62.559,200624_053046_0000000037_CAM2_OK.bmp,47.627,200624_053052_0000000038_CAM2_OK.bmp,F,1.100642636,0.751926978,0.100642636,0.329916373,1.112261833,0.753320193,0.112261833,0.327456784,65.959,65.633,3
